,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Python
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,example-package-dealer,Swift
29,example-package-deckofplayingcards,Swift
30,example-package-figlet,Swift
31,example-package-fisheryates,Swift
32,example-package-playingcard,Swift
33,FHIRModels,Swift
34,foundationdb,C++
35,fstools,C
36,game-center-tools,Python
37,GCGC,Jupyter Notebook
38,homebrew-apple,Ruby
39,HomeKitADK,C
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,live-caller-id-lookup-example,Swift
43,llvm-monorepo-root,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-4m,Python
48,ml-ademamix,Python
49,ml-afv,Python
50,ml-agm,Python
51,ml-aim,Python
52,ml-all-pairs,Python
53,ml-ane-transformers,Python
54,ml-aspanformer,Python
55,ml-aura,Python
56,ml-autofocusformer,Python
57,ml-autofocusformer-segmentation,Python
58,ml-batchquant,Python
59,ml-behavioral-testing-for-mt,
60,ml-calibration,Jupyter Notebook
61,ml-capsules-inverted-attention-routing,Python
62,ml-cifar-10-faster,Python
63,ml-code-switched-speech-translation,Python
64,ml-codeswitching-translations,
65,ml-collegial-ensembles,Python
66,ml-compress-and-compare,Python
67,ml-core,Python
68,ml-covid-mobility,R
69,ml-cread,Python
70,ml-cvnets,Python
71,ml-cvpr2019-swd,Python
72,ml-dab,Python
73,ml-data-parameters,Python
74,ml-delphi,
75,ml-depth-pro,Python
76,ml-destseg,Python
77,ml-diffusion-alignment-gflownet,Python
78,ml-direct2.5,Python
79,ml-dms-dataset,Python
80,ml-dprecs,Jupyter Notebook
81,ml-dr,Python
82,ml-duet,Python
83,ml-entity-deduction-arena,Python
84,ml-entropy-reconstruction,Python
85,ml-envmapnet,Python
86,ml-equivariant-neural-rendering,Jupyter Notebook
87,ml-facelit,Python
88,ml-famae,Python
89,ml-fastvit,Python
90,ml-fct,Python
91,ml-ferret,Python
92,ml-finerecon,Python
93,ml-flair,Jupyter Notebook
94,ml-gaudi,
95,ml-gendered-translation,Ruby
96,ml-gmpi,Python
97,ml-gsn,Python
98,ml-hd-gist,Python
99,ml-heart-rate-models,Python
100,ml-hierarchical-confusion-matrix,TypeScript
101,ml-hugs,Python
102,ml-hypersim,Python
103,ml-interspeech2022-phi_rtn,
104,ml-jointnet,Python
105,ml-key-retrieval-code-tasks,Python
106,ml-keyframer,JavaScript
107,ml-kge,Python
108,ml-knowledge-conflicts,Python
109,ml-live-pose,
110,ml-llarp,Python
111,ml-lucid-datagen,Python
112,ml-mcf,Python
113,ml-mdm,Python
114,ml-mgie,Python
115,ml-mia-bench,Jupyter Notebook
116,ml-MixupMP,Python
117,ml-mkqa,Python
118,ml-mobileclip,Python
119,ml-mobileone,Swift
120,ml-mofi,Python
121,ml-multiple-futures-prediction,Python
122,ml-mycelium,JavaScript
123,ml-ncg,Python
124,ml-neilf,Python
125,ml-neilfpp,Python
126,ml-neuman,Python
127,ml-no-token-left-behind,Jupyter Notebook
128,ml-np-rasp,Python
129,ml-nvas3d,Python
130,ml-ogen,Python
131,ml-pgdvs,Python
132,ml-planner,Python
133,ml-pointconvformer,Python
134,ml-pointersect,Python
135,ml-probabilistic-attention,Python
136,ml-projunit,Python
137,ml-qrecc,Python
138,ml-quant,Python
139,ml-recurrent-drafter,Python
140,ml-reed,Python
141,ml-rlgrad,Python
142,ml-robust-expert-augmentations,Python
143,ml-rpm-bench,Python
144,ml-sad,Python
145,ml-sampleplan,Python
146,ml-selfcond,Python
147,ml-shuffling-amplification,Python
148,ml-sigma-reparam,Python
149,ml-sigmoid-attention,Python
150,ml-slowfast-llava,Python
151,ml-spatial-librispeech,
152,ml-spin,Python
153,ml-stable-diffusion,Python
154,ml-stabledreamer,
155,ml-stuttering-events-dataset,Python
156,ml-superposition-prompting,Python
157,ml-symphony,Svelte
158,ml-tic-clip,Python
159,ml-toad,Python
160,ml-tract,Python
161,ml-transcript-translation-consistency-ratings,
162,ml-translate-vis,TypeScript
163,ml-tree-dst,Python
164,ml-tune-mode-convbn,Python
165,ml-tweak,Python
166,ml-upscale,Jupyter Notebook
167,ml-uwac,Python
168,ml-veclip,Jupyter Notebook
169,ml-vfi-smiff,Python
170,ml-vfm-kt,
171,ml-vision-transformers-ane,Python
172,music-feed-examples,Java
173,openjdk,Java
174,password-manager-resources,JavaScript
175,pfl-research,Jupyter Notebook
176,pkl,Java
177,pkl-evolution,
178,pkl-go,Go
179,pkl-go-examples,Go
180,pkl-intellij,Kotlin
181,pkl-jvm-examples,Groovy
182,pkl-k8s,Pkl
183,pkl-k8s-examples,
184,pkl-lang.org,JavaScript
185,pkl-lsp,Kotlin
186,pkl-neovim,Scheme
187,pkl-package-docs,Kotlin
188,pkl-pantry,Pkl
189,pkl-project-commons,
190,pkl-spring,Java
191,pkl-swift,Swift
192,pkl-swift-examples,Swift
193,pkl-vscode,TypeScript
194,pkl.tmbundle,
195,pytorch-speech-features,Python
196,rules_pkl,Starlark
197,sample-backyard-birds,Swift
198,sample-cloudkit-coredatasync,Swift
199,sample-cloudkit-encryption,Swift
200,sample-cloudkit-privatedb,Swift
201,sample-cloudkit-privatedb-sync,Swift
202,sample-cloudkit-queries,Swift
203,sample-cloudkit-sharing,Swift
204,sample-cloudkit-sync-engine,Swift
205,sample-cloudkit-tooling,JavaScript
206,sample-cloudkit-zonesharing,Swift
207,sample-food-truck,Swift
208,servicetalk,Java
209,swift-3-api-guidelines-review,Swift
210,swift-algorithms,Swift
211,swift-aoc-starter-example,Swift
212,swift-argument-parser,Swift
213,swift-asn1,Swift
214,swift-async-algorithms,Swift
215,swift-async-dns-resolver,Swift
216,swift-atomics,Swift
217,swift-cassandra-client,Swift
218,swift-certificates,Swift
219,swift-clang,C++
220,swift-clang-tools-extra,C++
221,swift-cluster-membership,Swift
222,swift-cmake-examples,CMake
223,swift-collections,Swift
224,swift-collections-benchmark,Swift
225,swift-compiler-rt,C
226,swift-container-plugin,Swift
227,swift-corelibs-libdispatch,C
228,swift-crypto,C
229,swift-distributed-actors,Swift
230,swift-distributed-tracing,Swift
231,swift-distributed-tracing-baggage-core,Swift
232,swift-distributed-tracing-extras,Swift
233,swift-embedded-examples,Swift
234,swift-evolution-staging,Swift
235,swift-for-wasm-examples,C
236,swift-getting-started-cli,Swift
237,swift-getting-started-package-library,Swift
238,swift-homomorphic-encryption,Swift
239,swift-homomorphic-encryption-protobuf,
240,swift-http-structured-headers,Swift
241,swift-http-types,Swift
242,swift-internals,HTML
243,swift-issues,
244,swift-libcxx,C++
245,swift-llbuild2,Swift
246,swift-lldb,C++
247,swift-llvm,LLVM
248,swift-log,Swift
249,swift-matter-examples,Swift
250,swift-metrics,Swift
251,swift-metrics-extras,Swift
252,swift-migration-guide,Markdown
253,swift-mmio,Swift
254,swift-nio,Swift
255,swift-nio-examples,Swift
256,swift-nio-extras,Swift
257,swift-nio-http2,Swift
258,swift-nio-imap,Swift
259,swift-nio-nghttp2-support,Swift
260,swift-nio-oblivious-http,Swift
261,swift-nio-ssh,Swift
262,swift-nio-ssl,C
263,swift-nio-ssl-support,Swift
264,swift-nio-transport-services,Swift
265,swift-nio-zlib-support,Swift
266,swift-numerics,Swift
267,swift-openapi-generator,Swift
268,swift-openapi-runtime,Swift
269,swift-openapi-urlsession,Swift
270,swift-playdate-examples,Swift
271,swift-protobuf,Swift
272,swift-protobuf-plugin,
273,swift-protobuf-test-conformance,
274,swift-sample-distributed-actors-transport,Swift
275,swift-service-context,Swift
276,swift-service-discovery,Swift
277,swift-standard-library-preview,Swift
278,swift-statsd-client,Swift
279,swift-string-processing-benchmarks,Swift
280,swift-system,Swift
281,swift-tools-support-async,Swift
282,swift-xcode-playground-support,Swift
283,swiftpm-on-llbuild2,Swift
284,tensor-visualizer,Svelte
285,tensorflow_macos,Shell
286,ToolSandbox,Python
287,tree-sitter-pkl,C
288,turicreate,C++
289,unityplugins,C#
290,VideoFlashingReduction,Mathematica
291,vqg-multimodal-assistant,Python
